track_id,artist_id,id
5SuOikwiRyPMVoIQDJUgSV,1,1
4qPNDBW1i3p13qLCt0Ki3A,2,2
1iJBSr7s7jYXzM8EGcbK5b,3,3
6lfxq3CG4xtTiEg7opyCyx,4,4
5vjLSffimiIP26QG5WcN2K,5,5
01MVOl9KtVTNfFiBU9I7dc,6,6
6Vc5wAMmXdKIAM7WUoEb7N,7,7
1EzrEOXmMH3G43AXT1y7pA,8,8
0IktbUcnAGrvD03AWnz3Q8,9,9
7k9GuJYLp2AzqokyEdwEw2,10,10
4mzP5mHkRvGxdhdGdAH7EJ,11,11
5ivF4eQBqJiVL5IAE9jRyl,8,12
4ptDJbJl35d7gQfeNteBwp,12,13
0X9MxHR1rTkEHDjp95F2OO,13,14
4LbWtBkN82ZRhz9jqzgrb3,14,15
1KHdq8NK9QxnGjdXb55NiG,15,16
6xKeQgzfjixSUld14qUezm,16,17
4Yo0igmcoNyat1secaH0OD,16,18
2qLMf6TuEC3ruGJg4SMMN6,9,19
6CgNoAbFJ4Q4Id4EjtbXlC,17,20
3S0OXQeoh0w6AY8WQVckRW,8,21
210JCw2LbYD4YIs8GiZ9iP,18,22
5TvE3pk05pyFIGdSY9j4DJ,7,23
0BUuuEvNa5T4lMaewyiudB,8,24
3Hn3LfhrQOaKihdCibJsTs,8,25
6D33wCKzWtNEgOovgeVJ7r,8,26
5IfCZDRXZrqZSm8AwE44PG,8,27
0dzKBptH2P5j5a0MifBMwM,8,28
5QAMZTM5cmLg3fHX9ZbTZi,8,29
2qESE1ZeWly7I3YjyTXmXh,8,30
3EQV1ZHtHvq9OnVRYIdbg3,8,31
3ax0rfGb7exLtl02LL08U9,8,32
1m5LC29RE52Bxy7hxvpOlL,5,33
3H36x7buZdQD4687VmFrwY,19,34
0xbMRcMFqxJq1Wa7tvWPtn,19,35
6h061f44HZPj1OXO2nA45d,19,36
62EwQLDw0dprDzuLwQ0sH1,20,37
3lvo0I8c2qBJDLZWqExDgC,21,38
1ae8XfBQ3fDEvmBjFaemGV,21,39
0adVktNVJXPZfhQe6B1NO5,20,40
6sp6Vx3sv2l5qxPfbQkcyt,22,41
1WFVfVjCtbmdIv7j3Fa9iy,21,42
0e5PAxSyZ5DWWVqKANHETz,23,43
1MLr9b1fOybO3MGiLy47Ys,23,44
6JGjevTaqr9J1xp7YvYUKF,21,45
7Af2YlwMZryKOQiRfwMsD2,23,46
3RE5nHIVkC4KcA7snFaTKd,23,47
0JvkNRyq8Tmot9khpdtN0I,23,48
27gHtbsHClwimHFtKgFop4,23,49
1QBNBGeIRRGBnLhdlHbfI8,23,50
72xTsTouZ5nBmASX8k1XCW,24,51
3ILmwMefYZoQh5Cf5jeuUQ,25,52
2DHDuADAHoUW6n0z80RLQF,26,53
5JDcQAztvZTIkrWoZihgvC,27,54
2sYFi9xVSZ56WHKSY2fN1K,28,55
6xJOhSm4SvZwzy3uhWz26O,26,56
7lLKxcNeJtDTWVRKHovLEC,29,57
25UzeaV47eDT44Fovve6xQ,5,58
4oa14QBfWRDfJy2agySy0L,30,59
2gRKq9rIC5i1zuxp06zJWH,5,60
08MFgEQeVLF37EyZ7jcwLc,11,61
6nXIYClvJAfi6ujLiKqEq8,26,62
7x4b0UccXSKBWxWmjcrG2T,31,63
6owKuyHxUqidcAA6fPKSyy,17,64
0wbmIfvndFV9VDvuUY1pYN,32,65
3e5yu9MkIvQx17mm7LF6KY,33,66
6VwAh8Z1d5YKoSWoEaV4db,34,67
2D4BSm5Z8Hq5zYbSgJwEOh,30,68
7LwGBxB0h0CVmkOZxYKn0g,26,69
0ZwdH0m32I8odedwvspYTh,35,70
16dkWKIlBsfYTISCVuDs0w,27,71
3TwtrR1yNLY1PMPsrGQpOp,36,72
3Et4LKZLnXygPYfNdeB3D3,26,73
2E9viCx0hJKNKNThd2MdGQ,37,74
0Zf1BPkkFAWGtVHeBwHHz4,38,75
38jy6kRlPt8z1GUS9WXeNh,8,76
2SkJKMfjpYsNv0KWOxiegX,39,77
4qCbMMMuEB56kHd4zPE6GD,40,78
11TK5KLtLZUdKr1C549bAw,41,79
7BXW1QCg56yzEBV8pW8pah,8,80
2kMrCPZ0o5gErBPLCRgoli,42,81
5IjTZ1g8KrIuV97N3OQZ0V,42,82
3bHhUEOTIbezeZ856R0BX5,22,83
0wf17wsLRwnnfh241GkeH5,42,84
3322ArxAq7wCSZI4fF77Q0,42,85
4LGF2tDg3878bs0mQPByZ4,22,86
6Uy6K3KdmUdAfelUp0SeXn,30,87
2z2JKNU24UEngb4joR9p8f,20,88
2nef44o0sjJDKB1ta4S0ub,20,89
0qJGlogD7AyMLAJfQ42aI2,36,90
04JS6OitE9VGsIS3S94Osg,43,91
5OGpsZeJRZ3t3MZioawcZW,43,92
3Vnes7v746dYzBn0FJTZ1W,20,93
30cYWLpVdBZVLb1cYdmcTT,43,94
7sUqJ51FGSi3n7x4pYjY3v,43,95
15BFn2VmEtonsXfNL1lUmy,43,96
0WOFJR54wyTwLB11jcBDb1,43,97
1uDCw6LVMOmbZ6zRliNcNX,43,98
7DYsBLdOqz0z14tYWMt2Tn,20,99
7cPuE0M35EajWPRO3nRcH8,20,100
0U32q8CZRRo7xCzyiaZw5f,25,101
4kQXMVjoZ9yMibLZq5Aqi5,44,102
3us8sod4dLbM9FiMiPiEY8,26,103
1PR5pyPiOEEQ02oJYq402x,45,104
068qo0w1Ki0cjnFYOUhAm2,46,105
2RFt6ZWQbr9mPhsft9u9eX,47,106
59pUIlXjQupbiYwt40uUTi,48,107
0VhZ5JYfqPojSYeGWnk4dL,49,108
0ltIx8PLjtWoS9zn9PqsZW,50,109
7ACW42whcdOiUxiNVu7ltx,35,110
4qTHoIp62ngNDpUJwW3hZ7,46,111
4VbDTk82rqWqVgoQC93CkC,26,112
1pG5nd6gmfbMwUfT5shDQe,2,113
2WZyfujzMweFLnozyUJBkW,51,114
6gijbGNDNNJgT60Aj7UCyc,52,115
5pq4v03P5PxMcnCagg4S3Z,46,116
08OjvLnGR3M0HUhcePeMNO,16,117
65VhbQdqvozUntjnlFkFbZ,4,118
05pKAafT85jeeNhZ6kq7HT,8,119
3PG6V5yuFfo4APiovOQoRv,53,120
5O9R57EozcpLKGQBzadPVy,54,121
6ta5yavnnEfCE4faU0jebM,55,122
7BRCa8MPiyuvr2VU3O9W0F,56,123
5ZhaKUsY68U0lgREFWfoxg,10,124
4zcMBfbQZvBSHQBGDd6gsN,57,125
7bhHLZxkRekrNPPkEdDTbn,2,126
5rwq6R0Uq0BngM3rdmCeNg,58,127
2lxBZVbkiCXC1soks2RXwV,59,128
38YgZVHPWOWsKrsCXz6JyP,60,129
6XrNrp7UtGgyZcHJ0ckL0w,61,130
72R0X0h8YaxYNpegeoOl0M,62,131
6R6ux6KaKrhAg2EIB2krdU,62,132
2D9w6sabdMCLSheW5aegwO,8,133
1Qo3taHLFSQpzLm5Sty7M4,8,134
71M4QMn8nrok1KFVXwEEyU,8,135
4lxGVzcUaSF5HW5jtWnShV,22,136
2PIlBukQ6limukVR8Ubb5o,42,137
5p9XWUdvbUzmPCukOmwoU3,20,138
1uSuY2qLCbx1QB7oPUVhFG,8,139
6twvFrIoIINH8UW8EB8OnU,8,140
2pelUnMKr07JjJpilj9Yew,8,141
7d0bJhpp0mCYyMXaMgWyMS,57,142
73CbJykoV6WapWGfTeRzTl,8,143
3ixLIO5BsTmic0Pp27FaPY,8,144
5ZetMq21bMQN5oo4TtdOxu,8,145
73oHkllHIT8fdbzpxiXW40,8,146
4MihgVRpD82EZoT61GW63w,8,147
1BECZPXBXzobsfmlzj0g3I,8,148
14vExHBkh1prEAN94wZug8,8,149
0fzCtVM9D5UEwiLqcY8Ouq,22,150
6IF2P93LkyW4GqDQu1yS7H,63,151
34dnNAUoIPcwnK0RtVMBWZ,64,152
